map,scenario,agent_count,scale,rep,steps,sim_time_s,evacuated,total,evac_fraction,evac_time_s,mean_pressure,max_pressure,mean_speed
Map1,none,25,1000.0,0,2500,125.000,0,25,0.0000,-1.000,0.31776,1902.71334,0.00849
Map1,none,25,1000.0,1,2500,125.000,0,25,0.0000,-1.000,0.67852,2187.47627,0.01052
Map1,none,25,1000.0,2,2500,125.000,0,25,0.0000,-1.000,0.00000,0.00000,0.00698
Map1,none,50,1000.0,0,2500,125.000,0,50,0.0000,-1.000,1.85782,6474.94402,0.01542
Map1,none,50,1000.0,1,2500,125.000,0,50,0.0000,-1.000,0.26821,1031.44058,0.00802
Map1,none,50,1000.0,2,2500,125.000,0,50,0.0000,-1.000,1.37915,3257.11129,0.01230
Map1,none,75,1000.0,0,2500,125.000,0,75,0.0000,-1.000,1.26175,2936.18820,0.01267
Map1,none,75,1000.0,1,2500,125.000,0,75,0.0000,-1.000,1.54447,2506.24284,0.01321
Map1,none,75,1000.0,2,2500,125.000,0,75,0.0000,-1.000,1.65977,2682.18059,0.01387
Map1,none,100,1000.0,0,2500,125.000,0,100,0.0000,-1.000,2.41648,3033.99773,0.01702
Map1,none,100,1000.0,1,2500,125.000,0,100,0.0000,-1.000,2.12548,4221.91143,0.01522
Map1,none,100,1000.0,2,2500,125.000,0,100,0.0000,-1.000,1.34882,2845.71002,0.01175
Map1,none,150,1000.0,0,2500,125.000,0,150,0.0000,-1.000,3.27373,6351.02863,0.01952
Map1,none,150,1000.0,1,2500,125.000,0,150,0.0000,-1.000,2.68053,3960.02080,0.01640
Map1,none,150,1000.0,2,2500,125.000,0,150,0.0000,-1.000,2.79659,3970.01491,0.01755
Map1,both,25,1000.0,0,2500,125.000,0,25,0.0000,-1.000,6.85444,1559.71970,1.73058
Map1,both,25,1000.0,1,2500,125.000,0,25,0.0000,-1.000,8.01214,2312.33694,1.68177
Map1,both,25,1000.0,2,2500,125.000,0,25,0.0000,-1.000,8.22426,2121.50436,1.72694
Map1,both,50,1000.0,0,2500,125.000,0,50,0.0000,-1.000,27.58892,2307.67100,1.72447
Map1,both,50,1000.0,1,2500,125.000,0,50,0.0000,-1.000,30.31912,2702.52767,1.72821
Map1,both,50,1000.0,2,2500,125.000,0,50,0.0000,-1.000,21.98264,2829.79587,1.72809
Map1,both,75,1000.0,0,2500,125.000,0,75,0.0000,-1.000,44.05164,2501.00323,1.71595
Map1,both,75,1000.0,1,2500,125.000,0,75,0.0000,-1.000,36.35272,3086.40726,1.71113
Map1,both,75,1000.0,2,2500,125.000,0,75,0.0000,-1.000,42.76414,3409.18590,1.72394
Map1,both,100,1000.0,0,2500,125.000,0,100,0.0000,-1.000,68.20546,3523.74650,1.73246
Map1,both,100,1000.0,1,2500,125.000,0,100,0.0000,-1.000,60.64064,3125.89097,1.73588
Map1,both,100,1000.0,2,2500,125.000,0,100,0.0000,-1.000,57.56882,3046.07758,1.71224
Map1,both,150,1000.0,0,2500,125.000,0,150,0.0000,-1.000,91.61095,7174.26790,1.73022
Map1,both,150,1000.0,1,2500,125.000,0,150,0.0000,-1.000,78.78729,4346.99856,1.70528
Map1,both,150,1000.0,2,2500,125.000,0,150,0.0000,-1.000,90.49433,3904.79490,1.72329
Map7,none,25,1000.0,0,2500,125.000,0,24,0.0000,-1.000,0.57829,1965.96566,0.00963
Map7,none,25,1000.0,1,2500,125.000,0,24,0.0000,-1.000,1.33787,2848.78464,0.01386
Map7,none,25,1000.0,2,2500,125.000,0,24,0.0000,-1.000,0.73537,1727.94259,0.01056
Map7,none,50,1000.0,0,2500,125.000,0,50,0.0000,-1.000,3.93481,5869.87199,0.02336
Map7,none,50,1000.0,1,2500,125.000,0,50,0.0000,-1.000,1.91620,2490.35712,0.01430
Map7,none,50,1000.0,2,2500,125.000,0,50,0.0000,-1.000,2.11689,2900.58718,0.01576
Map7,none,75,1000.0,0,2500,125.000,0,74,0.0000,-1.000,4.99080,4565.58244,0.02438
Map7,none,75,1000.0,1,2500,125.000,0,74,0.0000,-1.000,4.73747,4111.67000,0.02371
Map7,none,75,1000.0,2,2500,125.000,0,74,0.0000,-1.000,3.45371,2743.47987,0.01985
Map7,none,100,1000.0,0,2500,125.000,0,100,0.0000,-1.000,5.93963,4165.86314,0.02642
Map7,none,100,1000.0,1,2500,125.000,0,100,0.0000,-1.000,5.72176,3724.65176,0.02630
Map7,none,100,1000.0,2,2500,125.000,0,100,0.0000,-1.000,7.50221,5038.95786,0.03187
Map7,none,150,1000.0,0,2500,125.000,0,150,0.0000,-1.000,14.44478,6628.81589,0.04939
Map7,none,150,1000.0,1,2500,125.000,0,150,0.0000,-1.000,12.82447,6907.80842,0.04601
Map7,none,150,1000.0,2,2500,125.000,0,150,0.0000,-1.000,13.41904,8240.41061,0.04585
Map7,both,25,1000.0,0,1701,85.050,24,24,1.0000,85.050,25.04460,1849.70455,1.72686
Map7,both,25,1000.0,1,1777,88.850,24,24,1.0000,88.850,22.56313,2151.04484,1.67918
Map7,both,25,1000.0,2,1675,83.750,24,24,1.0000,83.750,23.00167,2332.69451,1.72516
Map7,both,50,1000.0,0,2292,114.600,50,50,1.0000,114.600,55.52989,2438.99529,1.69934
Map7,both,50,1000.0,1,1906,95.300,50,50,1.0000,95.300,45.09671,3370.21066,1.68745
Map7,both,50,1000.0,2,2022,101.100,50,50,1.0000,101.100,49.51270,3562.58882,1.68738
Map7,both,75,1000.0,0,2015,100.750,74,74,1.0000,100.750,72.24470,4094.23883,1.67046
Map7,both,75,1000.0,1,2500,125.000,72,74,0.9730,-1.000,88.26632,2659.86736,1.67084
Map7,both,75,1000.0,2,2500,125.000,72,74,0.9730,-1.000,101.64160,6787.87275,1.65737
Map7,both,100,1000.0,0,2500,125.000,97,100,0.9700,-1.000,112.14638,5283.26366,1.64746
Map7,both,100,1000.0,1,2500,125.000,96,100,0.9600,-1.000,130.68007,6161.43043,1.65287
Map7,both,100,1000.0,2,2226,111.300,100,100,1.0000,111.300,136.69741,4317.02973,1.66607
Map7,both,150,1000.0,0,2500,125.000,137,150,0.9133,-1.000,211.96687,5927.28457,1.68099
Map7,both,150,1000.0,1,2500,125.000,137,150,0.9133,-1.000,219.29271,6300.30991,1.66828
Map7,both,150,1000.0,2,2500,125.000,138,150,0.9200,-1.000,211.26061,6106.87580,1.68217
